Code,bairro,Area
31744,Juliana,Venda nova
30672,Independência ,Barreiro
30518,Madre Gertrudes,Oeste
31540,Piratininga ,Venda nova
30550,Salgado Filho,Oeste
30672,Independência ,Barreiro
30666,Vila Petrópolis ,Barreiro
30670,Vila Pinho Vale do Jatobá ,Barreiro
30530,Alto dos Pinheiros,Oeste
30855,Califórnia,Noroeste
31270,São Luiz,Pampulha
30514,Betânia,oeste
30530,João Pinheiro,pampulha
30642,Miramar ,Barreiro
31742,Jardim Guanabara,norte
31975,Jardim Vitória,Nordeste
30830,Dom Bosco,Noroeste
30830,Glória,Noroeste
30820,Alípio de Melo,pampulha
31030,Sagrada Família,leste
