code,bairro,area
32113,Arvoredo,Eldorado
32183,Vale das Amendoeiras,Eldorado
32040,Maria da Conceição,Eldorado
32044,Quintas Coloniais,Eldorado
32040,Perobas,sede
32052,Vila Renascer,Eldorado
32050,Vila Nova Esperança,Vargem das flores
32230,Industrial,Industrial
32017,Estância do Hibisco,sede
32041,Três Barras,sede
32341,Novo Eldorado,Eldorado
32260,Inconfidentes,riacho
32071,Campo Alto,Eldorado
32050,Nova Contagem,Vargem das flores
32050,Vila Nova Esperança,Vargem das flores
32042,Olinda,sede
32310,Eldorado,Eldorado
32370,Conjunto Água Branca,Industrial
32241,Jardim Riacho das Pedras,riachdo
